Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"BINSTEAD, Mr Walter William",1891,1959,20,Male,Engineering Crew,,,,Southampton,Trimmer,SAVED,3,,English,https://www.encyclopedia-titanica.org/titanic-survivor/walter-binstead.html
"WARWICK, Mr Tom",1886,1912,25,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/tom-warwick.html
"MCILWAINE, Mr James",1887,,25,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-mcilwaine.html
"DAWSON, Mr Joseph",1888,1912,23,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,227,Irish,https://www.encyclopedia-titanica.org/titanic-victim/joseph-dawson.html
"WILLIAMS, Mr Samuel Solomon",1884,1912,28,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/samuel-williams.html
"DAWKINS, Mr P.",1888,,24,Male,Victualling Crew Failed to Join Ship,,,,Southampton,Assistant Cook,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/dawkins-p.html
"KINCHENTEN, Mr Frederick Charles",1875,1912,36,Male,Engineering Crew,,,,Southampton,Greaser,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-kenchenten.html
"HINCKLEY, Mr George Herbert",1872,1912,40,Male,Victualling Crew,,,,Southampton,Bathroom Steward (1st Class),LOST,,66,English,https://www.encyclopedia-titanica.org/titanic-victim/george-hinckley.html
"KEARL, Mr George Edward",1886,1912,25,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/g-kearl.html
"HOGG, Mr George Alfred",1883,1946,29,Male,Deck Crew,,,,Belfast,Lookout,SAVED,7,,English,https://www.encyclopedia-titanica.org/titanic-survivor/george-alfred-hogg.html
"THOMAS, Mr Benjamin James",1881,1937,30,Male,Victualling Crew,,,,Belfast,Saloon Steward,SAVED,15,,English,https://www.encyclopedia-titanica.org/titanic-survivor/benjamin-james-thomas.html
"MCMULLAN, Mr Richard",1892,1951,19,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/mcmullan-richard.html
"MILLS, Mr Christopher",1860,1930,51,Male,Victualling Crew,,,,Southampton,Butcher,SAVED,C,,English,https://www.encyclopedia-titanica.org/titanic-survivor/christopher-mills.html
"MOODY, Mr James Paul",1887,1912,24,Male,Deck Crew Titanic Officers,,,,Belfast,6th. Officer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-paul-moody.html
"BARNES, Mr William John",1875,1927,36,Male,Engineering Crew,,,,Belfast,Leading Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-barnes.html
"MCMULLIN, Mr John Richard",1876,1912,36,Male,Victualling Crew,,,,Belfast,First class saloon steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-mcmullin.html
"NANNINI, Sig. Francesco Luigi Arcangelo",1870,1912,42,Male,Restaurant Staff,,,,Southampton,Head Waiter (Restaurant),LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/francesco-luigi-arcangelo-nannini.html
"GILL, Mr Patrick",1874,1912,38,Male,Victualling Crew,,,,Southampton,Ship's Cook,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/patrick-gill.html
"DONOGHUE, Mr Florence Thomas",1880,1912,31,Male,Victualling Crew,,,,Belfast,Bed Room Steward,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/frank-thomas-donoghue.html
"HALFORD, Mr Richard",1884,1953,27,Male,Victualling Crew,,,,Southampton,3rd Class Steward,SAVED,15,,English,https://www.encyclopedia-titanica.org/titanic-survivor/richard-halford.html
"AKERMAN, Mr Joseph Francis",1874,1912,37,Male,Victualling Crew,,,,Southampton,Assistant Pantryman Steward,LOST,,205,English,https://www.encyclopedia-titanica.org/titanic-victim/joseph-francis-akerman.html
"LAHY, Mr T.",1871,1912,41,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/t-lahy.html
"WEATHERSTON, Mr Thomas Herbert",1887,1912,25,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-herbert-weatherstone.html
"MEWE, Mr W. J.",1877,,35,Male,Victualling Crew Failed to Join Ship,,,,Southampton,Sauce Cook,,,,,https://www.encyclopedia-titanica.org/titanic-biography/mewe.html
"SMITH, Mr Charles Edwin",1872,1912,39,Male,Victualling Crew,,,,Southampton,2nd Class Bedroom Steward,LOST,,329,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-edwin-smith.html
"BEATTIE, Mr Joseph John",1871,1912,40,Male,Engineering Crew,,,,Belfast,Greaser,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/joseph-beattie.html
"JESSOP, Miss Violet Constance",1887,1971,24,Female,Victualling Crew,,,,Southampton,Stewardess,SAVED,,,"English,Argentinian",https://www.encyclopedia-titanica.org/titanic-survivor/violet-constance-jessop.html
"CARSON, Mr James",1875,1950,36,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-carson.html
"BLUMET, Mr Jean Baptiste",1886,1912,26,Male,Restaurant Staff,,,,Southampton,Pantryman,LOST,,,French,https://www.encyclopedia-titanica.org/titanic-victim/jean-baptiste-blumet.html
"PETTY, Mr Edwin Henry",1887,1912,25,Male,Victualling Crew,,,,Southampton,Bedroom Steward (2nd class),LOST,,82,English,https://www.encyclopedia-titanica.org/titanic-victim/edwin-henry-petty.html
"BURR, Mr Ewart Sydenham",1883,1912,29,Male,Victualling Crew,,,,Southampton,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/ewart-sydenham-burr.html
"WILLSHER, Mr William Aubrey",1878,1912,33,Male,Victualling Crew,,,,Southampton,Butcher,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-audrey-willsher.html
"VALLER, Mr Arthur",1885,,26,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/arthur-valler.html
"HADDOCK, Mr Herbert James",1861,1946,51,Male,Deck Crew Titanic Officers,,,,Belfast,Master,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/herbert-james-haddock.html
"HANDS, Mr Bernard",1858,1912,54,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/bernard-hands.html
"GAMBLE, Mr William",1883,1942,28,Male,Engineering Crew,,,,Belfast,Greaser,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-john-gamble.html
"SMITHER, Mr Harry James",1889,1912,22,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/harry-james-smither.html
"MITCHELL, Mr Lorenzo Horace",1893,1912,19,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/lawrence-mitchell.html
"PROUDFOOT, Mr Richard Royston",1890,1912,21,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/richard-proudfoot.html
"YEARSLEY, Mr Harry",1871,1939,40,Male,Victualling Crew,,,,Southampton,First class saloon steward,SAVED,9,,English,https://www.encyclopedia-titanica.org/titanic-survivor/harry-yearsley.html
"BOWMAN, Mr F. T.",1874,,38,Male,Victualling Crew Failed to Join Ship,,,,Southampton,Assistant Cook,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/bowman.html
"BAILEY, Mr Henry Joseph",1865,1943,46,Male,Deck Crew,,,,Southampton,Master-at-arms,SAVED,16,,English,https://www.encyclopedia-titanica.org/titanic-survivor/joseph-henry-bailey.html
"MAXWELL, Mr John",1882,1912,29,Male,Deck Crew,,,,Belfast,Carpenter / Joiner,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-maxwell.html
"SMITH, Mr Reginald George",1879,1912,33,Male,Victualling Crew,,,,Southampton,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/reginald-george-smith.html
"HARTNELL, Mr Fred",1890,1920,21,Male,Victualling Crew,,,,Southampton,Saloon Steward,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frederick-hartnell.html
"MCKINNEY, Mr Peter",1874,1928,37,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/peter-mckinney.html
"COUPER, Mr Robert Frederick William",1882,1941,30,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,3,,English,https://www.encyclopedia-titanica.org/titanic-survivor/robert-couper.html
"MABEY, Mr John Charles",1888,1912,23,Male,Victualling Crew,,,,Southampton,3rd Class Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-charles-mabey.html
"HOLDEN, Mr Frank",1883,,29,Male,Engineering Crew Deserted,,,,Southampton,Fireman,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/holden-f.html
"SKINNER, Mr Edward",1871,1912,41,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-skinner.html
"CHERRETT, Mr William Victor",1887,1912,24,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-victor-cherrett.html
"LUCAS, Mr William Arthur",1886,1921,25,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,D,,English,https://www.encyclopedia-titanica.org/titanic-survivor/william-lucas.html
"PALLES, Mr Thomas Henry Michael",1867,1912,45,Male,Engineering Crew,,,,Belfast,Greaser,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-palles.html
"FAIRALL, Mr Henry Charles",1871,1912,40,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-fairall.html
"EGG, Mr William Henry",1864,1912,48,Male,Victualling Crew,,,,Southampton,Third class steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/w-egg.html
"LEE, Mr Reginald Robinson",1870,1913,41,Male,Deck Crew,,,,Southampton,Lookout,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/reginald-robinson-lee.html
"MORRIS, Mr Frank Herbert",1883,1954,28,Male,Victualling Crew,,,,Belfast,Bathroom Steward (1st Class),SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frank-herbert-morris.html
"WATSON, Mr William",1885,1912,27,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,158,English,https://www.encyclopedia-titanica.org/titanic-victim/william-watson.html
"THRESHER, Mr George Terrill",1886,1939,25,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,9,,English,https://www.encyclopedia-titanica.org/titanic-survivor/george-terrill-thresher.html
"HOLLAND, Mr James",1882,,30,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/james-holland.html
"HINDS, Mr Charles",1870,,42,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/charles-hinds.html
"PHILLIPS, Mr John George",1887,1912,25,Male,Victualling Crew,,,,Belfast,Telegraphist,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/jack-phillips.html
"JAMES, Mr Thomas",1876,,36,Male,Engineering Crew,,,,Belfast,Trimmer,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/thomas-james-2.html
"PIAZZA, Sig. Pompeo Gaspro",1879,1912,33,Male,Restaurant Staff,,,,Southampton,Waiter,LOST,,266,English,https://www.encyclopedia-titanica.org/titanic-victim/pompeo-piazza.html
"BRENNAN, Mr Thomas",1873,,39,Male,Engineering Crew,,,,Belfast,Leading Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/thomas-brennan.html
"HAMILTON, Mr William John",1888,1931,24,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-hamilton.html
"ASHE, Mr Henry Wellesley",1871,1912,41,Male,Victualling Crew,,,,Southampton,Glory hole steward (3rd class),LOST,,34,Irish,https://www.encyclopedia-titanica.org/titanic-victim/henry-wellesley-ashe.html
"ORR, Mr James",1872,1912,39,Male,Victualling Crew,,,,Southampton,Assistant Vegetable Cook,LOST,,,Scottish,https://www.encyclopedia-titanica.org/titanic-victim/j-orr.html
"WITTMAN, Mr Henry",1873,1912,38,Male,Victualling Crew,,,,Southampton,Bathroom Steward (1st Class),LOST,,315,Austrian,https://www.encyclopedia-titanica.org/titanic-victim/henry-wittman.html
"FOSTER, Mr Alfred Charles",1875,1912,37,Male,Engineering Crew,,,,Belfast,Storekeeper (Engineering),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/alfred-charles-foster.html
"HEMMING, Mr Samuel Ernest",1868,1928,43,Male,Deck Crew,,,,Belfast,Lamp Trimmer,SAVED,4,,English,https://www.encyclopedia-titanica.org/titanic-survivor/samuel-hemming.html
"SAMUEL, Mr Owen Wilmore",1865,1912,47,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),LOST,,217,Welsh,https://www.encyclopedia-titanica.org/titanic-victim/owen-wilmore-samuel.html
"RICKMAN, Mr George Albert",1876,1912,36,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-albert-rickman.html
"PERRY, Mr Henry Frederick",1889,1912,23,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-perry.html
"BEST, Mr Edwin Alfred",1872,1912,40,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edwin-alfred-best.html
"CLENCH, Mr Frederick Charles",1878,1930,33,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,12,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frederick-clench.html
"SHEA, Mr John Joseph",1872,1912,39,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,11,English,https://www.encyclopedia-titanica.org/titanic-victim/john-shea.html
"FORD, Mr Thomas",1879,1912,33,Male,Engineering Crew,,,,Southampton,Leading Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-ford.html
"WHITE, Mr Frank Leonard",1884,1912,27,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frank-leonard-white.html
"FLANNIGAN, Mr Thomas",1866,1941,45,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/thomas-flannigan.html
"BARTLEY, Mr Thomas",1876,1957,35,Male,Victualling Crew,,,,Belfast,Room Attendent,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/thomas-bartley.html
"JONES, Mr Harry Owen Glendower",1875,1912,36,Male,Victualling Crew,,,,Southampton,Roast Cook,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/h-jones.html
"GATTI, Sig. Gaspare Antonio Pietro",1875,1912,37,Male,Restaurant Staff,,,,Southampton,Ã  la Carte Restaurant Manager,LOST,,313,Italian,https://www.encyclopedia-titanica.org/titanic-victim/gaspare-antonio-pietro-gatti.html
"COOMBS, Mr Charles Augustus",1867,1912,45,Male,Victualling Crew,,,,Southampton,Assistant Cook,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/augustus-charles-coombs.html
"MOORE, Mr George Alfred",1880,1943,32,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,3,,English,https://www.encyclopedia-titanica.org/titanic-survivor/george-alfred-moore.html
"GWINN, Mr William Logan",1875,1912,37,Male,Victualling Crew Postal Clerk,,,,Southampton,Postal Clerk / Postman,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/william-logan-gwynn.html
"HEDLEY, Mr Robert",1867,,45,Male,Victualling Crew,,,,Belfast,Room Attendant,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/robert-hedley.html
"CASSIDY, Mr William John",1881,1953,30,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-cassidy.html
"WORMALD, Mr Henry Frederick Charles",1867,1912,45,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,144,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-william-wormald.html
"WHEELTON, Mr Edenser Edward",1884,1949,28,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),SAVED,11,,English,https://www.encyclopedia-titanica.org/titanic-survivor/edneser-ernest-edward-wheelton.html
"SMALL, Mr William McMillan",1870,1912,42,Male,Engineering Crew,,,,Southampton,Leading Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-small.html
"TURVEY, Mr Charles Thomas",1895,1912,17,Male,Restaurant Staff,,,,Southampton,Page Boy,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-turvey.html
"MILFORD, Mr George",1884,1912,27,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-milford.html
"JUDD, Mr Charles Edward",1880,1960,31,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,B,,English,https://www.encyclopedia-titanica.org/titanic-survivor/charles-judd.html
"BARRETT, Mr Frederick William",1883,1931,29,Male,Engineering Crew,,,,Southampton,Leading Fireman,SAVED,13,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frederick-barrett.html
"DOYLE, Mr Laurence",1885,1912,27,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/laurence-doyle.html
"BRIANT, Mr Arthur",1882,1912,30,Male,Engineering Crew,,,,Southampton,Greaser,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/arthur-morris.html
"HORSWILL, Mr Albert Edward James",1879,1962,33,Male,Deck Crew,,,,Southampton,Able Seaman,SAVED,1,,English,https://www.encyclopedia-titanica.org/titanic-survivor/albert-edward-james-horswill.html
"HOLME, Mr Nicholas Joseph",1876,1958,35,Male,Engineering Crew,,,,Belfast,Fireman,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/nicholas-holme.html
"IDE, Mr Harry John",1880,1912,31,Male,Victualling Crew,,,,Southampton,1st Class Bedroom Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/harry-john-ide.html
"BRIGHT, Mr Arthur John",1869,1955,42,Male,Deck Crew,,,,Belfast,Quartermaster,SAVED,D,,English,https://www.encyclopedia-titanica.org/titanic-survivor/arthur-john-bright.html
"BRIDE, Mr Harold Sydney",1890,1956,22,Male,Victualling Crew,,,,Belfast,Assistant Telegraphist,SAVED,B,,English,https://www.encyclopedia-titanica.org/titanic-survivor/harold-sydney-bride.html
"JENNER, Mr Thomas Henry (Harry)",1856,1912,55,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/harry-jenner.html
"RANDALL, Mr Frank Henry",1883,1912,29,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frank-henry-randall.html
"PORTEUS, Mr Thomas Henry",1878,1912,33,Male,Victualling Crew,,,,Southampton,Butcher,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-porteus.html
"BISHOP, Mr Walter Alexander",1878,1912,34,Male,Victualling Crew,,,,Belfast,1st Class Bedroom Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/walter-alexander-bishop.html
"WILLIS, Mr William",1853,1912,59,Male,Victualling Crew,,,,Southampton,3rd Class Packer Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-willis.html
"GOSLING, Mr Bertram James",1890,1912,22,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/bertram-james-gosling.html
"SHANNON, Mr David McKay",1879,1961,33,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/david-shannon.html
"LOCKE, Mr Albert George",1879,1912,33,Male,Victualling Crew Substitute Crew,,,,Southampton,Scullion,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/a-locke.html
"CORBEN, Mr Ernest Theodore",1885,1912,27,Male,Victualling Crew,,,,Southampton,Assistant Printer Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/ernest-theodore-corben.html
"DASHWOOD, Mr William George",1894,1912,18,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),LOST,,83,English,https://www.encyclopedia-titanica.org/titanic-victim/william-george-dashwood.html
"WEBB, Mr Brook Holden",1862,1912,50,Male,Victualling Crew,,,,Belfast,Smoke Room Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/brooke-holden-webb.html
"BROWN, Mr Joseph",1882,1912,30,Male,Engineering Crew Substitute Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/joseph-james-brown.html
"BARKER, Mr Albert Vale",1893,1912,19,Male,Victualling Crew,,,,Southampton,Baker,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/albert-vale-barker.html
"THORN, Mr Harry",1886,1912,25,Male,Victualling Crew,,,,Southampton,Assistant Ship's Cook,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/harry-johnson-thorne.html
"KNOWLES, Mr Thomas",1867,1951,44,Male,Engineering Crew,,,,Southampton,Firemens' Messman,SAVED,C,,English,https://www.encyclopedia-titanica.org/titanic-survivor/thomas-knowles.html
"DAVIES, Mr Robert J.",1886,1912,26,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,191,Welsh,https://www.encyclopedia-titanica.org/titanic-victim/robert-davies.html
"DODDS, Mr Henry Watson",1885,1912,26,Male,Engineering Crew Substitute Crew,,,,Southampton,Junior Assistant 4th Engineer,LOST,,,Guyanese,https://www.encyclopedia-titanica.org/titanic-victim/henry-watson-dodds.html
"FARQUHARSON, Mr William Edward",1873,1912,39,Male,Engineering Crew,,,,Belfast,Senior 2nd. Engineer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-edward-farquharson.html
"HARDING, Mr Alfred John",1891,1912,21,Male,Victualling Crew,,,,Southampton,Assistant Pantry Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/a-harding.html
"MCQUILLAN, Mr William",1886,1912,26,Male,Engineering Crew,,,,Belfast,Fireman,LOST,,183,Irish,https://www.encyclopedia-titanica.org/titanic-victim/william-mcquillan.html
"CULLEN, Mr John",1869,,43,Male,Engineering Crew,,,,Belfast,Leading Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-cullen.html
"FARLEY, Mr John",1881,,31,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-farley.html
"JENSEN, Mr Charles Valdemar",1887,1912,24,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,Danish,https://www.encyclopedia-titanica.org/titanic-victim/charles-valdemar-jensen.html
"CHRISTMAS, Mr Herbert Harry",1878,1912,34,Male,Victualling Crew,,,,Southampton,Assistant Saloon Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/herbert-harry-christmas.html
"PERRITON, Mr Hubert Prouse",1880,1912,32,Male,Victualling Crew,,,,Southampton,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/hubert-prouse-perriton.html
"HOARE, Mr Leonard James",1893,1912,18,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/leonard-james-hoare.html
"SYMONDS, Mr John Crane",1867,1912,44,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/j-symonds.html
"FLEET, Mr Frederick",1887,1965,24,Male,Deck Crew,,,,Belfast,Lookout,SAVED,6,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frederick-fleet.html
"GORMAN, Mr David",1880,1938,32,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/david-gorman.html
"KENNELL, Mr Charles",1882,1912,30,Male,Victualling Crew,,,,Southampton,Hebrew Cook,LOST,,,South African,https://www.encyclopedia-titanica.org/titanic-victim/charles-kennell.html
"RIMMER, Mr Gilbert",1883,1912,29,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/gilbert-rimmer.html
"ANDREWS, Mr Archibald",1872,,40,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/archibald-andrews.html
"BAGGOTT, Mr Allen Marden",1884,1921,28,Male,Victualling Crew,,,,Southampton,Saloon Steward,SAVED,9,,English,https://www.encyclopedia-titanica.org/titanic-survivor/allen-marden-baggott.html
"KIERAN, Mr Edgar Michael",1878,1912,34,Male,Victualling Crew,,,,Southampton,Storekeeper,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/michael-kieran.html
"DYER, Mr Henry Ryland",1887,1912,24,Male,Engineering Crew,,,,Belfast,Senior Assistant 4th. Engineer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-ryland-dyer.html
"BEDFORD, Mr William Barnett",1880,1912,31,Male,Victualling Crew,,,,Southampton,Assistant Roast Cook,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-barnet-bedford.html
"LONG, Mr Frank",1880,1912,31,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/f-long.html
"BARKER, Mr Stokes",1886,,26,Male,Engineering Crew,,,,Belfast,Leading Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/stokes-barker.html
"STEBBINGS, Mr Sydney Frederick",1876,1912,36,Male,Victualling Crew,,,,Belfast,Chief Boots Steward (1st Class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/sydney-frederick-stebbings.html
"PLATT, Mr Wilfred George",1894,1912,17,Male,Victualling Crew,,,,Southampton,Scullion,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/w-platt.html
"HERD, Mr Hugh",1877,,35,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Scottish,https://www.encyclopedia-titanica.org/titanic-biography/hugh-herd.html
"HAGGAN, Mr John",1877,1952,35,Male,Engineering Crew,,,,Belfast,Fireman,SAVED,3,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/john-haggan.html
"TIETZ, Sig. Carlo/Karl",1885,1912,27,Male,Restaurant Staff,,,,Southampton,Kitchen Porter,LOST,,,German,https://www.encyclopedia-titanica.org/titanic-victim/carlo-karl-tietz.html
"BURROUGHS, Mr Arthur Peckham",1877,1912,34,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/arthur-burroughs.html
"VINE, Mr Herbert Thomas Gordon",1894,1912,17,Male,Restaurant Staff,,,,Southampton,Assistant Restaurant Controller,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/herbert-vine.html
